"time_step","loc_Emax","num_occupied","num_extinct","centroid","leading_edge","trailing_edge"
375,974,127352,142648,971.685848577236,1514.8,435.9
376,975,127219,142781,974.659827760892,1519.3,425.9
377,976,127348,142652,977.459663007404,1520.7,424.8
378,977,127025,142975,974.887469970919,1514.4,432.8
379,978,127476,142524,975.774337410805,1509.2,432.7
380,979,127239,142761,975.9208386277,1522.6,428.3
381,980,127082,142918,980.131542085827,1524.4,431.1
382,981,127277,142723,979.391670924885,1522,433.9
383,982,127281,142719,982.796625335549,1516.5,432.1
384,983,127037,142963,983.176072522983,1522.5,435.7
385,984,127151,142849,987.121973209686,1518.9,448.3
386,985,126850,143150,984.173415606119,1532.5,446.4
387,986,127259,142741,984.37997186341,1531.8,438.1
388,987,127060,142940,984.962796664529,1536.4,444.2
389,988,127387,142613,986.163980920459,1536.2,447
390,989,127109,142891,985.148754999355,1534.9,444.5
391,990,127321,142679,987.518086347725,1537.2,443
392,991,126971,143029,987.558990211231,1525.8,445.4
393,992,127369,142631,989.843401308195,1541.7,443.9
394,993,127140,142860,989.347998973833,1541.9,448.9
395,994,127024,142976,987.879170423805,1542.7,450.8
396,995,127010,142990,989.919170984456,1543.4,454.4
397,996,127118,142882,992.088575941037,1541.2,457
398,997,127042,142958,993.046889569735,1542.8,459.2
399,998,126989,143011,991.311180609851,1547.4,457.2
400,999,127004,142996,997.563023012552,1549.1,468.6
401,1000,127144,142856,998.268756558237,1549.1,460.8
402,1001,126933,143067,999.417889134104,1541.9,461.9
403,1002,127041,142959,998.99643940393,1546.9,455.8
404,1003,127108,142892,1001.36763745592,1546.6,456.8
405,1004,127039,142961,1001.54297082228,1542.9,456.6
406,1005,127345,142655,1003.05603902954,1545.1,461.3
407,1006,126989,143011,1007.71288959324,1557.8,462.1
408,1007,127193,142807,1002.99430494434,1550.7,457.1
409,1008,127234,142766,1006.71137895283,1558.2,467.9
410,1009,127276,142724,1003.03619968636,1556.4,467.9
411,1010,127214,142786,1004.80614253839,1545.8,466.5
412,1011,126967,143033,1009.4580162687,1547.7,472.6
413,1012,127110,142890,1010.25701605535,1548.6,468.4
414,1013,126855,143145,1010.40563306133,1547.1,475.2
415,1014,127286,142714,1005.96672411507,1548.2,472.2
416,1015,127151,142849,1010.47474348856,1551,465.6
417,1016,127013,142987,1011.10781990521,1559.8,470.4
418,1017,127610,142390,1012.73958060288,1557.8,473.1
419,1018,127031,142969,1013.48897586432,1562.5,467
420,1019,127263,142737,1015.39629005059,1561.5,475
421,1020,127178,142822,1013.91972771641,1568.2,481.2
422,1021,127237,142763,1017.04138109401,1567.7,488
423,1022,127121,142879,1019.16079751424,1566.9,478.7
424,1023,127614,142386,1018.82782743879,1557.8,479.1
425,1024,127249,142751,1018.60791366906,1562.3,481
426,1025,127080,142920,1018.88583536664,1563.5,471.4
427,1026,127432,142568,1022.07835820896,1567.1,482
428,1027,127389,142611,1026.31749710313,1570.6,478.3
429,1028,127008,142992,1025.91955652959,1578.6,477.3
430,1029,127442,142558,1026.50484420005,1579.4,484
431,1030,127245,142755,1029.81714889682,1576.2,487.2
432,1031,127209,142791,1026.5269858109,1569.9,477.3
433,1032,127038,142962,1030.67499342624,1580.1,480.5
434,1033,127083,142917,1028.69350580781,1567.7,484.6
435,1034,127215,142785,1033.81185635067,1575.2,489.9
436,1035,127093,142907,1032.3183903526,1573.5,478.7
437,1036,127137,142863,1034.80545001965,1575.9,492.9
438,1037,127107,142893,1034.63574244415,1582.1,492.2
439,1038,127117,142883,1036.88596376906,1585.3,492.6
440,1039,127055,142945,1032.95886075949,1578.3,498.1
441,1040,127164,142836,1040.43805485623,1580,487.9
442,1041,127565,142435,1036.41544554455,1590.2,490.8
443,1042,127500,142500,1037.16085721663,1579.7,498.4
444,1043,127084,142916,1040.78277250877,1581.1,496.4
445,1044,127053,142947,1041.5602393963,1592.8,492.8
446,1045,127019,142981,1045.80566908372,1593.3,495.6
447,1046,127066,142934,1045.32023968043,1593.4,498.6
448,1047,127348,142652,1044.98768343816,1595.2,504
449,1048,127220,142780,1048.11057124097,1593.3,499.8
450,1049,127112,142888,1045.62942320156,1587.8,503.4
451,1050,127169,142831,1049.62300861844,1587.1,507.3
452,1051,127213,142787,1049.17883352646,1589.5,505.9
453,1052,127186,142814,1048.60582802133,1586.3,507.4
454,1053,127352,142648,1051.28080082136,1599.4,503.2
455,1054,127367,142633,1053.65828497743,1602.4,508.1
456,1055,126928,143072,1052.61988304094,1595.7,508.9
457,1056,127256,142744,1054.74328512397,1600.9,507.8
458,1057,127437,142563,1053.67111984283,1608.2,517.8
459,1058,127078,142922,1055.6525512888,1602.7,517.3
460,1059,126992,143008,1052.8785232235,1603.7,517.7
461,1060,127120,142880,1055.72509176717,1613,522.3
462,1061,127262,142738,1056.41826234206,1607.9,520
463,1062,127340,142660,1061.60304142632,1601,519
464,1063,127007,142993,1059.20089227136,1598.6,519
465,1064,127094,142906,1059.60093896714,1607.2,524.9
466,1065,127025,142975,1059.48151082937,1605.8,527.4
467,1066,126825,143175,1063.37061548643,1612.7,525.7
468,1067,127085,142915,1063.09115770283,1610.7,525
469,1068,127045,142955,1064.65953840136,1613.9,519.7
470,1069,126955,143045,1064.11559348332,1618,525.5
471,1070,126920,143080,1064.19043274244,1614.3,520.5
472,1071,127182,142818,1068.44258872651,1622,522.8
473,1072,127335,142665,1067.57278769712,1618.6,524.3
474,1073,127260,142740,1065.78720042139,1613.7,528.1
475,1074,127434,142566,1065.13459777632,1615.5,522.8
476,1075,126753,143247,1068.5449401237,1619,527.1
477,1076,127074,142926,1072.43228005769,1615.1,523.7
478,1077,127011,142989,1075.5421101038,1622.2,531.2
479,1078,127070,142930,1076.19614231722,1630.8,534.7
480,1079,127590,142410,1075.46403385049,1629.2,529.3
481,1080,127384,142616,1074.84832704075,1630.4,532.7
482,1081,127110,142890,1076.47266839378,1633.7,531.8
483,1082,126977,143023,1076.82608132608,1630.4,536.7
484,1083,127483,142517,1080.43252595156,1635.2,543.5
485,1084,126901,143099,1083.18793774319,1635.7,546.3
486,1085,127234,142766,1080.03328547187,1632.7,540.7
487,1086,127277,142723,1081.33424729077,1628.1,540.8
488,1087,127032,142968,1083.27501630789,1635.6,547.6
489,1088,127234,142766,1078.29324094653,1635.9,546.6
490,1089,126999,143001,1087.41226378712,1634.8,550
491,1090,127369,142631,1088.8150116671,1630.9,544.5
492,1091,127050,142950,1089.43997412678,1634.4,554.4
493,1092,127093,142907,1088.82620389344,1639.5,540.7
494,1093,127129,142871,1089.64328088728,1640.2,548.7
495,1094,126954,143046,1090.84307692308,1642.2,546.6
496,1095,127076,142924,1092.86252885355,1645.2,550.1
497,1096,127399,142601,1094.59240180296,1641.6,546.3
498,1097,127182,142818,1095.25957228839,1649,546
499,1098,127302,142698,1100.12412903226,1649.4,547
500,1099,127321,142679,1098.65120164503,1654.8,560.9
501,1100,127235,142765,1100.00802588997,1641,559.1
502,1101,127172,142828,1099.87221934816,1647.8,560.3
503,1102,127143,142857,1100.13172785893,1650.1,562.9
504,1103,127396,142604,1101.99585169821,1648.1,566.1
505,1104,127245,142755,1104.32455689699,1651.6,559.7
506,1105,127406,142594,1102.18813147461,1649.9,562
507,1106,127290,142710,1103.6858558902,1654.3,563.5
508,1107,127174,142826,1100.67968451851,1654.4,556.6
509,1108,127286,142714,1102.1172743729,1650.3,557.6
510,1109,127058,142942,1103.73968741993,1651.3,559.7
511,1110,127303,142697,1105.51226718048,1650.7,561.1
512,1111,127308,142692,1103.86916129032,1655.3,565.5
513,1112,127031,142969,1105.32043343653,1655,564.6
514,1113,127120,142880,1102.77154334586,1656.7,559.5
515,1114,127467,142533,1103.07858343027,1653.6,574
516,1115,126732,143268,1104.73897343307,1657.8,572.8
517,1116,127482,142518,1109.20367278798,1662.2,566.2
518,1117,127389,142611,1108.97699805068,1661.7,575
